Rk,G,Date,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA
1,1,2016-10-26,CHO,L,96,107,99.5,110.9,96.5,.217,.174,.476,47.4,59.0,4.1,7.6,.440,7.4,20.0,.163,.489,9.1,76.6,.225
2,2,2016-10-29,BRK,W,110,108,108.1,106.2,101.7,.273,.250,.558,49.4,61.0,13.8,10.0,.511,12.4,19.0,.227,.506,15.7,76.6,.274
3,3,2016-10-30,DET,L,83,98,89.0,105.1,93.2,.161,.195,.445,40.8,64.7,10.7,5.9,.414,11.4,19.2,.126,.472,13.4,65.2,.170
4,4,2016-11-01,NOP,W,117,113,114.8,110.9,101.9,.231,.352,.584,53.8,68.2,8.8,8.9,.538,13.0,25.0,.209,.494,11.5,80.9,.390
5,5,2016-11-03,IND,W,125,107,124.8,106.8,100.2,.293,.329,.675,56.2,68.1,10.0,10.3,.646,18.5,35.3,.232,.531,18.4,74.4,.259
6,6,2016-11-05,SAC,W,117,91,130.4,101.4,89.7,.305,.402,.629,59.6,68.3,13.4,17.9,.585,13.9,42.5,.256,.452,13.2,73.5,.179
7,7,2016-11-06,DAL,L,75,86,75.3,86.4,90.2,.146,.354,.430,52.6,46.7,11.0,4.0,.402,23.6,20.0,.110,.426,13.9,80.8,.125
8,8,2016-11-10,NOP,L,106,112,107.7,113.8,98.4,.275,.198,.520,50.5,57.5,4.1,7.8,.473,9.7,23.4,.220,.489,9.0,77.1,.281
9,9,2016-11-12,MEM,W,106,96,114.9,104.0,92.3,.529,.265,.632,52.2,55.6,9.8,10.4,.581,12.5,14.7,.397,.487,13.0,90.9,.256
10,10,2016-11-16,ATL,L,100,107,101.2,108.3,98.8,.184,.327,.472,54.7,64.1,9.1,7.5,.439,11.7,29.4,.143,.556,15.7,91.4,.375
11,11,2016-11-17,MIA,L,73,96,80.2,105.4,91.1,.153,.271,.402,44.9,71.4,4.4,11.9,.371,12.5,22.2,.118,.438,6.2,67.9,.113
12,12,2016-11-19,GSW,L,121,124,121.9,124.9,99.3,.281,.225,.605,47.7,58.7,7.1,1.8,.573,11.5,27.0,.213,.516,9.9,63.3,.274
13,13,2016-11-21,ORL,W,93,89,93.7,89.7,99.2,.244,.337,.488,40.7,71.4,16.1,17.3,.453,12.0,13.7,.174,.461,21.5,75.0,.234
14,14,2016-11-25,TOR,L,99,105,114.7,121.6,86.3,.152,.367,.587,51.4,65.0,4.6,4.1,.582,11.5,20.6,.089,.563,9.2,77.5,.188
15,15,2016-11-27,ORL,W,104,96,109.8,101.4,94.7,.233,.279,.549,53.5,58.5,6.3,9.4,.523,10.4,21.7,.163,.451,6.6,81.1,.141
16,16,2016-11-29,CLE,W,118,101,118.4,101.4,99.6,.267,.221,.614,55.1,58.7,15.1,16.7,.576,15.0,26.3,.221,.520,17.7,82.5,.307
17,17,2016-12-01,BRK,W,111,93,116.3,97.4,95.5,.363,.425,.598,54.5,63.9,8.4,20.4,.544,16.3,33.3,.300,.449,15.0,73.9,.146
18,18,2016-12-03,BRK,W,112,103,107.5,98.9,104.2,.424,.282,.555,50.0,62.5,8.6,20.0,.506,9.8,16.3,.306,.434,11.7,79.6,.264
